"date","time","time_zone","format","text","notes","favorite","date_utc","time_utc","metadata"
"2023-05-19","23:38:17","Horário Padrão de Brasília","QR Code","35230417604918000142590006584111203894183111|20230413120436|4.85||BvGEyW60jFM1tYfBj6RDrvENTa1adoZe1nDerxdWFWKKPiZaECZVZPVo2arfsQhFwiBpSkRonluSh1lRT4o2lqyY4AaJEiwNuKUSj50/33993jBxCuMJOqLBLFRvaMeWtjkKlTDukl5GM/Q2Ei1R12Q5Nk6phFvCKMMG1//9kP+QL5b+QZB5TnTdn/Obk9uneyjI+K3pfhcJydbMS4KKHyTBrw48m0S+5XtTP+zTa45M7LXUyUzSF7+vkotMYumehglh0AUjKCl0rB55MbR9M0dO1Iclgf6WJvdUZ8i6/sl1J4PNE5MHwkLY3Hk4iVUqtZvXXRCg6RkuX/p/jok2Ug==","","0","2023-05-20","02:38:17",""
"2023-05-19","23:38:43","Horário Padrão de Brasília","QR Code","35230417604918000142590006584111203671608406|20230413081438|18.30||kHGnLq4IwQX+1DlGcUsbx3fAOfzSC0dCzMBna1YL2/Uf9xTGvI0y/8on3RCqwL70jmE3/BTXve5KnlI9m9N0W77J0tQEmY6TL66VQ4scXmqakR8T/gFWcVBfHUMQkoSm9cKrw2ZCIBzPsRUw24/4pmD3bhBcoL+AuFuOQMWJ6SHcKMT8ZerwJ+X0124emoGqhx2oUc3DCEZWZkbWmExqQugdB6UQabpC1/MPWS/zRa36pO+MB71kRk7N0gfc9A0BUe/aEj2kod77i5nnBgiTlVeAB1LR+IYBFNBqYjREFMP2HrfUFTuwDFCpTTbzC57VRyfPJOxFXmnYkjcxXl3pQQ==","","0","2023-05-20","02:38:43",""
"2023-05-19","23:40:57","Horário Padrão de Brasília","QR Code","35230417604918000142590006584111203629687859|20230412190609|2.50||UFy4nsReTM139G/7V3YWCPJ4kZ9DZQ3hw+1qk9Xvuvayk2A5EYQNlC1w1KkjyUSY8fVBrAx+078ZgBofMBAmA+Qtib+twrGVPJeW9y4vz8xYE4wKNOW17eeTLXNyka8awURbWg4C+VJrDlrxH0974V9T4OpMZN78VDthUpmWmrqwQmublyUz+fXe1Em5uB+Y6Ut5u244RnyVUIATVM4JtXsbBuTHIsqhhA0u+ftFrMjimHWpMgkdV+y+lbC/NEgz2ig6W3A3OE34ueSLvejEfMCWOAAPYh+xeMyuAZybO/DLu+tBEWLGHHTcJpQwkaZUViMTb5EEivOih6nsMt8luQ==","","0","2023-05-20","02:40:57","{""ec"":""M""}"
"2023-05-19","23:41:09","Horário Padrão de Brasília","QR Code","35230417604918000142590006584111200099108275|20230408155937|3.00||QI9vLgPFXdxlhMJXKxF4Ua/LL6NLs0RqsA/zqcFBqIf3YX6P0+FMKmJj3TeD6y0QH+/84zgEKazyCkUSrrUSkyLgbDMeiZIDeFUbyYLhW3DCjDVk3bOvatzMloQh2wGM8l3FglF4ByVw2+9H3iLnZ1IPO46qai+nr1UuT3Mtdr9fsHBH3+pbB13wMC+wR5sJ62emkm+6G6dAT8wzz7EikRXxIq5+4fX5Me3WLnsG3P776uCx2Gcs1gH3LaSv4ugPPW3lZMfyPsqfcc27haTkmjJx8Al0iUrSQ3qk5tkX7yUPiBi8sDwsimwo03+Hakmkph4lGXWWFUSzK37gNOx1EA==","","0","2023-05-20","02:41:09","{""ec"":""M""}"
"2023-05-19","23:41:26","Horário Padrão de Brasília","QR Code","35230417604918000142590006584111202536967454|20230412081214|6.60||SpWGS2jBwwKmCZ8E5PuutWu1Nf4DZSdy/ry0A44KmLfe/EeWnyREw+Q18ZfPv5DGj2/8RgBt0oOjj/2uWwyTKWvX/fX/yiIsSJEn6sJtcdQucXSvkNdb/yHkOZD3kEhEsm9p7V2YETo4UB/HxIGmHnpdMas5TzFjf1FSbY4UxvadwlKKWlzpM1hhRqrn4ggPcY9ESLlYPQMwADYEsFiQXrUb1FxYNAup8WBitXJ2kRZshhCUfF+3PbtzJf1vYJYH2bQRlU/YmihlDAnxHJzUmITKWkKgjKV4uCUSHxyzv3p8F9G579JI7ymzYIAHxoy2i76ofipNigrkDYmuVGOHXg==","","0","2023-05-20","02:41:26",""
"2023-05-19","23:41:39","Horário Padrão de Brasília","QR Code","35230317604918000142590006584111186880076477|20230323160405|34.00||GxkaAiQ34fEeZI/a68ANHiPIvKuFwQnTk2vAUrf/F/8WdXVRXoDASzLhPXKuoLXpK6kuj0g+kPwjfiwCGuIngAmkX2ucXLd7g3T5/i/3eIv9W5cR0N6NkZnjV5VsSnr68mdPoSbA7T159HVLGAWRqFdc49r87QZ+3dpfpR3xfeN+MJT+NKq2FjHHvj5lyD05nEqFqN9hr/66ZvYM+Jnxr4G0l5j+Pu9zX6AYp7Wy6rvqGMcfzKKODLchbgvAfU945v0UrQfE6Upu6EtwSiJizkNBPZhaUSksVJVEGIM/ISKOuoJGox39b5klAxg9SqFkoti5OCnGRaEbxKH5jFsgHw==","","0","2023-05-20","02:41:39",""
"2023-05-19","23:41:52","Horário Padrão de Brasília","QR Code","35230417604918000142590006584111203798961974|20230413104929|23.20||GcgOWZKDqSH9WwUkb8ihC0FURoTo9WoLAtHg0U1nl2VWpvaSKLrrJ7NSYu87Xkeu74bX76YuimV07tUTOyOYKgBa3mtluvWuMYnweQaM3Es+HJ/ySdCwbL7D+ok4YasQ6Lj5neoeILP1zHhLZ2Gv93tAkSmehjeB9v0+tIMcdtizz9VgwFoU/1UfpYuWcLS8//cLrwMY/tzzNgWc0n31xLKTziZmxeqptHQQg0k7aSKMb8rT1ig9fHfY7XqD1/hBv4dOUXk3gnfVK3AhlFAq4oSA9HNsZYq1qJSz3yVCn8qWuVJXyxxqr4B0eUSLm7gNP/AUIRy0HJ5HDZvFJfpbSQ==","","0","2023-05-20","02:41:52",""
"2023-05-19","23:42:05","Horário Padrão de Brasília","QR Code","35230417604918000142590006584111199230238532|20230408095826|20.00||srbPivCGGw05mwzoExTPgcTbvL03Pg53Bc+pJZOJEbDoJou3K5hwYpxTMQZDAsX7KSvonW1KrrQQM3rKa8vkKRIp9tG2F+kOl9UZFIUPZFnkv72zd1hhRjB4YqDZybS3sV5jGZeqYkJBwXayva5zIeFenUq0sr2n/NDrDiZRL//DwhB+shJm9lwmfGb2M3ufCLxSkxscQNIZri0LOxdUlxXosULFhrTfmhRj67QRFUiBfzAkWA4beoPEyqeLYTsqXgrW+bEkRioDSBAPws2Lp1xVSn6A8qW/ZcJJrNxXQHcsh/+LidRBtNl3AvEu7Wrg/JwMZseXMiokLSIpHHDf0g==","","0","2023-05-20","02:42:05",""
"2023-05-19","23:42:25","Horário Padrão de Brasília","QR Code","35230417604918000142590006584111199705303180|20230408123105|19.95||R8iq36Qsp5gbqgMyyeJ8x9gtkhwPy5JD+5cK9tdxwiQaMUriRCIA3Xm5BDMjQQG8FDlfvcchAfQFTsaEIwOf+AOq6M85f9ea+6MxVpzjgPkAOBG2wUHsap1JKbJ/uc2eO1qyEqtRUYBZGGr7oRmeDN9fnJl2C8pG5xkwKnMr4QXYbsZ7v7eD5jeEPfrdQWBjCtFcQF/497PtpPLMCUWN6WEgLcqCA4yVrApDG8+oo6QpCo4EF+bfjbo4sArt6J2ZsyOYX1j3h/w+nVl6iILPz6l0D/GkI1vFXeNTHCP0ZyCL1av1cvHH6dThYVhBpfJOnabPkLU+Z88Dl/SQUfaIdg==","","0","2023-05-20","02:42:25",""
"2023-05-19","23:42:34","Horário Padrão de Brasília","QR Code","35230417604918000142590006584111200026866064|20230408153829|24.50||Ufj3Igk8bQ2kzxJaWmY4URXYYe3qKOC9sf3JuZNmK2MjrbMBGimaG2iM/n4SEkn6a33xX3mL/aUVuP5HYHjlhpVo3p0cRF9oEDNORH4njeySCq5t2kBITDLik1tDcK4+3/wGTfj0LNsNIP5YhkVjO3ZqQr2KWh5vD7vEvgnOJlnPd3zs6uuT4tVrt8CAMnntVW0nCwDsZPfo5XOXJDHNkRlzKnKpzk7qLnLMHfkpAQAbIWInqzyvOcMjDUZQwF9n7QZY+JY1bccH1a6bZ11L9E2ZTHs+Rv7Is8Ex9TPXlZ9KIXQvebJcEn80x9VMVoyn7NBHdOxoTdj65gPuXuKyPA==","","0","2023-05-20","02:42:34","{""ec"":""M""}"
