"date","time","time_zone","format","text","notes","favorite","date_utc","time_utc","metadata"
"2023-08-11","10:21:42","Horário Padrão de Brasília","QR Code","35230717115090000169590006245706731542077091|20230727185225|66.00||vQ663+mFxnFi626siBSxbzwLwHwft9TbczPx055/0k710ASgBWC9T1Tc2mH9fsmG3psCoODPQv8HGV5MhOab7TbHMMmijKhRaXKfOpEnAHrqTFL8MSS5HkYoDraNEnR+Ow4Vm4Nu6YAqKmS5Fxuj6SjnzXEwB3wPF0QuRyFetjZzlTZIHNHpcKAwXsRfU1khWtl0zMoDOA9B1db8nUwHyLjCbxo1CAQZmdBLqnXgt2KGVtH0YBRrB5fJDooSM2+r/gFz3XTulveLQGskAlXVWV2WVuCvv3zlHkET0KHhhigcy3p+cf8NVNjtfrVQWa7JGtcpChZcdKCzMaudMefLRA==","","0","2023-08-11","13:21:42","{""ec"":""L""}"
"2023-08-11","10:21:56","Horário Padrão de Brasília","QR Code","35230717115090000169590006245706731529883748|20230727184802|104.00||Ree2hFQCk4k4dQ+CHb51P5cMCj9WnHhHUoQ+iWjeq/bdzADoYYf3bTaytRoIgP3qr+zWRP8IHGh05m5oUcQKYfR6cHKgoxKhEikWkpVOxui7Bj1ajzbbFhCQnrAlrmqQCSOdvpRG0kBA3xIpNpLDxn+u7Z8hcNueWmHCulzP//4YM/M7zdHVQlq/RBIVbGfDJd4PfO0OuvTm7EE+PBO4+GNEsLB0IAHslRqIYkBncOug504dBmf9VTXtGNAGAwJkQaBF8P8oRI/05IPcyhHnTXG0tMNTOVMq1cHHy8aGBhs4Q+LmgLFRegeAhVrYkrd15N4OYmd49PvKbAwJVXfONQ==","","0","2023-08-11","13:21:56",""
"2023-08-11","10:22:08","Horário Padrão de Brasília","QR Code","35230717115090000169590006245706731535930248|20230727185059|20.02||a68V2IBgB0yQ/7CtxZWNMqoQxyXJC1Vet0ifb0SMBgsYsWgY5aHOlTlGTvemq6qXxRHSg3KvkKG1H189sflY9z+ioQggNA1J20tjnxEtnwtL0tStIN8J6/bAODCRLmbU0EWi7XSQboQrKRwrA8vWNges50b9aovM0xDx6Kt9IMp+jtnEloanR3uN1ppvDErgJjC7WWqI/eYkCZgNKODfWk4g+U+mCbNJHWzeWaKRU9SyJtA5K05jB6la1fTwMZKcAJ98W0ISEXo4C0p8Ijx9K9ShLzfvrHGDUYRuE3B40FJllZ/oHZA/B4iXiZvY7xkW9LBKk9/qt+BcCVsczCrnjw==","","0","2023-08-11","13:22:08",""
"2023-08-11","10:22:14","Horário Padrão de Brasília","QR Code","35230717115090000169590006245706731510017050|20230727184732|25.00||coGfL9D4eeqNk/vW3RCUt/3DUXo53oKkySa1Yt4dMRxtpW3Pb3HPOypugZioNraTJ792sTxPi6Z4JA0q6yjcnC769HBZnb4Jh3CUu49HYFOop2xg86wPykIeqNeBmneDZ4xTf8NXZaKZvq2sJzfFqosHQNwW/nm3l3rWlfCZeN4Sm1GNWekSv3GNC82F/bj4HC+hV3O5IePn5SoilctW4/M2s+N1iuS7Kc42yuIQUceg3lq+d4Tg0vm+jrV5cRQVQtDMHXcBWC76vcXwOjZrcipTbckS+S6tTpxu+rglxuJdZr5YA6iLUEm+5bZyEbM4iRB1c8N0Ho8B+pNu1No4Gg==","","0","2023-08-11","13:22:14",""
"2023-08-11","10:22:26","Horário Padrão de Brasília","QR Code","35230717115090000169590006245706731508914105|20230727184600|35.00||ke51VcuNaA9ACc+JMlYfmETl6dHVAHv3cbrUX4kijCFDkXf5DOhYlw27KtKhzCllCSIUK5MspyutE8Q0I5/d9No+6euHOXQHsOSzD1LyLDTHijzAx0aQLoyOFjlo3JMRZP019f8bVKZrJZIM3c+32v9MXnFmH7T+bD05NtYHXJLXuP4mq4CC9GwGYwiNf3YA8g2naG8d8zU/wvRlZi6BV25l6ZSU6JjjjBYrz343kzNbmoXXGGMNq7CE+hsJC4/xvNuKbzJDDIIj00kYP304G4VRFDeJv8Wd7NkqYqVh49Hg8qbqKIi9LiXlpES5Cx4k0HwU/XpGkIFl6tI9PZVqTg==","","0","2023-08-11","13:22:26",""
"2023-08-11","10:22:33","Horário Padrão de Brasília","QR Code","35230717115090000169590006245706731495088622|20230727184537|31.62||Blyih8W5vFIwUiBAzyyiiCx0kWO20sGGRYM9zxPiI2KvkAO8YXDl5XpmGKgek2mSkVxIrNSnDacNK56lXcobb+AugDBtX5fhpgkbkTkIK7Iggfbmyyc0JcgqFVm9EcQ7FnjQFDkY6/EolVOqG92oMd8ZW/xqrANne2Pa4efHOSPnqkxt+aQ8UVi28XwUx7nFumd6/Gou/ZnKV7JHNKaKvA5d0qD2x/p8gtblSVETrh4nF3pwpJ3m9q0NPX5slPLNr4L/svh7bvjONI3V06OdAQQdzkYCNH4TTKKeJeCUoWTUyrhSDV/EMjkYB4RE6EUJcBjGPVr/iklw3IUZuhNmVg==","","0","2023-08-11","13:22:33",""
"2023-08-11","10:22:45","Horário Padrão de Brasília","QR Code","35230717115090000169590006245706731488752660|20230727184234|20.00||QS23ihssTQIg9VVN+CvARg/LXhxZUbKUmZh//siEJ90qUJAYw0sUXCmqoRuGHwBdzfUnSL2qnEcEn6voxJZxBUsAkNH5NuIrV5Mm8T773ayAOUdtakSBAVbLn33peojIdWKgrlw5RK0lXsy83vfAFBVG4OY+dKtZZD6vsoWNWQniS6Rk8GsLlMheb5wtfbgN4E4gGi/TtMQivicH9r/D02vr5W9QwAtJ61vP3EdBkGpKuyP4c/58Y+lByAOH2Hgg3jSKVmONRzfmEnVzrYCGgBNqk6n0CxUj7cWVWuuxmX6Z4+WRz4/ZTgzG7jR7TEO9OdwLP00uUXHrwtO7Lc8S6Q==","","0","2023-08-11","13:22:45",""
"2023-08-11","10:22:58","Horário Padrão de Brasília","QR Code","35230717115090000169590006245706731465698970|20230727183957|172.92||Klv0gCjOGmkhBBHjLNg+BoADSw1nO71/y3YeBbvGrOSwsOtJTbDzFacFhRttnfcCmY16O6PdPbEHyR0f3LklggwKnhP6zKYVSyEMTO+dFD3rr+cyeLbHZ8ZBI78u4Po0WpawAayiwn+MqBOZSDcV2FKKnPh6UpJDqPOeq4R9xzpHOllCmuZrkuqf1GkUsVWyY/0rO8LNIR0o09mBVES5w21YSFIRMA34BWNJhi3bV+UfXwmy6oIqkjbmTmlE4xHSX9QAVN+XnhAfOSMYF/JLxd0FyOcfjKYaoWJD0aR0Po1ZvyIYmV0WQaui8jHFFvojem8KRv3m3YUXNwEpbMuqHw==","","0","2023-08-11","13:22:58",""
"2023-08-11","10:23:09","Horário Padrão de Brasília","QR Code","35230717115090000169590006245706731446487870|20230727183138|100.01||IYTeFVEtwRYT8Kh2HkOuX9lJmG7+53I+yQTVfS3D9/uK6QOkEinNYMogWgaUZnakdnRC74rv203mepdvEoe99PJRUtzKSY+LHXg21AQngKQxXeNfBBNgikDDvAR8/3fXxca9jIYgZBkvIy5D2NOXssDTg0gUlQFP68H3myV7BmkoDZHj7W+vWL09KalD2nhDQIBdoPDGTFGPhkUN2y1H2w9j9+RTr4XJUziBLC2H2anTW8law+f3POJ0lZXlAAjcsekaMQGTDPyOYv6wHV3MeNMIIU8EFwOlSDnIK6yzOTGeIHu2lOBGZUVo4dvsayoB+1rpDCcplk+P/vRpaVV+ig==","","0","2023-08-11","13:23:09",""
"2023-08-11","10:23:23","Horário Padrão de Brasília","QR Code","35230717115090000169590006245706731416800863|20230727182842|44.99||HAe7VSRJUMSM4MxTwR5NGPIyFQT3VFnCNu8T42+6MSPs7PWQ6udNVpvNcn4DoxH3ygODlfCSrEpi36OUZl9pcn53ZMOy9qVVxm8lQvmbp1OXMmKmU32j6pUqNo0B7TEaMUP137bdPRyZvFEai7060tqxL04oHlMMXTvC84cp+bCdE7UyWsxytv10NRoMFX1lE2tTcKZNq3QiHcACWLyNUMySoP1EAekbfFR5QiNHBk6xrXgsgjlWEWsQPdSL+Kx8P6Il2zpAnkjHPaFu91/crCaRSV5KCoeKTY/kOnU2Do8WOi/0hfvecEmO8WKDBtSUOcHly5m3sSL7QIxdGcmSNA==","","0","2023-08-11","13:23:23",""
"2023-08-11","10:23:29","Horário Padrão de Brasília","QR Code","35230717115090000169590006245706731408193910|20230727182754|210.02||BY3eKBeNa1eMftWV3Lf3HrGGGqi46lyDC89rrV4Wy2VJnfojE4qfJuT8zycMOzF2ZmMrw2qw+P3rfXTbq96+yfY3miWNPhwhApcao7ZEoyUfM69NP/W/3cb4egaf68h7pqZgZgZF9kCW7+IvIOG2Y2FH/rdh9R1V7rB1Q3uHGpLnXHyCJlT2j/v8oNQVu22Cp0RkznOL5YADuIeAl4tiY1AoQPFoMWfacLCN7r6RCfz2+fU+6zz4EhluPxFXtZAaZrVH6L5n/43wRsIpGb9Ti2FqG3jLdMmY/hzUBKRsipnvxA4xRVyOko2wYGY+MZcMvwLgdNyJgxML4o0e4wHKLQ==","","0","2023-08-11","13:23:29",""
"2023-08-11","10:23:38","Horário Padrão de Brasília","QR Code","35230717115090000169590006245706731393711991|20230727182717|35.01||qvPQOyvEMbC7ld9hgvsRS3FAVMHeLE8q6+9MEM4injTmiVF9vXed/3D4RvNZUPYKIATBJyrPrI2oPGYI6Chwrt1EHxQDNxUQeb1mUaNFwm2rUzK7HpNHYMguIRHBzfY/6DuBlEbA9J09SuEsIQeVUjy3se4QqcOpFDcHFuAkVrhzvhM1tQytx29R30UWj2wExAgAt6pHrr3EyExWSG9YpbuWdjKY4F7ZUDCiwKSaVNdDW5HjdG+EBtIH+v+uxc3ftR3gtSKVxd2t0YzSsyx2iu555UviGfvpCd3WyTVGCPYWYRDaYqXIyKnnDPoBCnSNunrlKzCo/a1u9CAW55JAXQ==","","0","2023-08-11","13:23:38",""
"2023-08-11","10:23:46","Horário Padrão de Brasília","QR Code","35230717115090000169590006245706731370190340|20230727182533|20.00||vjo6EYo2c7ybsfvBQNrbuzUbcMTjmoahCx+cClAYtVTXbQEC2b9lQzps8GDBL9E8e5UtF/K6pRjHJ9Qgl3RmvDAIm7YQp4sL1KOzcqtFE5yEo3N7GFieN8cszcz1rrN5lsBw9/qNMmD8i3otkMDXyyPvA4xlCQAL9chu7pLbV6Xbh5ZoXHi/eTTaOx3S5A5wnFYUSlWElT4DW9MA8X/SYEgIDL+rtQc97EQ30s5iYIrclJjeKocoqrcslfl3M369KF0MI+3BradFoTJyjFLld4UjlNhQooYaQFb95qmaqI5GN15v9VaHlIbg+GNdyE7dLeYWm9MIE19kcslOXRcynQ==","","0","2023-08-11","13:23:46",""
"2023-08-11","10:23:52","Horário Padrão de Brasília","QR Code","35230717115090000169590006245706731364626019|20230727182416|230.00|57187098000155|3bFP1eNJw3X78rK9L8GpyRoSwIg+nS46ie14JHg1b3YlKVmcP+mktauhIbx/a1MUSmOD5bbpcKH9QOY+vzWGgOFgstVX8oqORUCcCT979HzSZK1vElBL4hSSdRXppRb4LpaLtgLbRvLtXghyUophaVztqOOfh97yj/beLp2V7juLq4v/lNcHR6lTUYSibM//4tJ0pedtPGnrVR8JNE/TtJDox/PHdjikkXlNKvXsUAlckBhJSnOKQTGxproAuU2EQmAJwob7w5W/JeDqtSt+RCW8safzqIAq/Iae0X/Ync8PqodIwzm+iw3kaCOxq/3RY3TwN5zKISCZjl8u/iblqg==","","0","2023-08-11","13:23:52",""
"2023-08-11","10:23:58","Horário Padrão de Brasília","QR Code","35230717115090000169590006245706731351097489|20230727182300|14.75||xu7SMkqRpGRwBO4rXU5m+ir/UpdY02emigLkrQ5RgXO/sDdzcMiXfXw04ACddmpukLQxw3fZM12IQuhkLwuQRi8txoUrHtM83bzBJ0k0Y8qRuaX2mgZENF0jLasxSkiwbSjCBHbEsweFWFG/AwsDnoSerq/Xt1poaCtQYUN2JsgTC5ETBIP0h2xI+uxAd7/8hZlmbtIiiHwTt64GZvu+KJ4eghwzAhNJ+0pAn5QqxnY0CaCWaVBGVrQbWYGLtko2TY4SPgDQnMLRMEkUyjmjo7Ixroii8P6WU8p385LAg0EBhqkZOEapPTFHXfEF/HILPsLSdyZ/CqvM/GAgHNVf1A==","","0","2023-08-11","13:23:58",""
"2023-08-11","10:24:13","Horário Padrão de Brasília","QR Code","35230717115090000169590006245706731341671522|20230727182210|100.00||iaAK/vCaSm9y4bMyT9L5WXRUry7FPQPtjTbGlUC9uCRFD+QzkDtE2AYJgOdK1/v1c+3wdcqBLmIfbNcHlRx1+CRF3wKlzNqSUm0CuRpUHJ/cDECxa8vwWYYuLygIGLAY0mOpP27NueWX1BsiqOyQtC2uP6RFoqeW3qdX8/Nl/HFj/mB1LTN/NpBooFFk1D1FYVk4Z3amOT/nz+wEyyHXw9ivBadWOvVFVykoUV33H0iMT7xUj313Ey+ST79dIxDiTqFao1MvTZOf6scdqbzvRJYp9rSJlqzKB+QHaRLtvGkLviE71nhKFOPQiNbeTHOEmiMARi66UKdYAjSN28hydw==","","0","2023-08-11","13:24:13",""
"2023-08-11","10:24:21","Horário Padrão de Brasília","QR Code","35230717115090000169590006245706731332806208|20230727182143|20.00||MHJUMcntlDxHkLfdELYokd1a/RqCC/RVhV2sB65A+5MXPpT/HwJdKhbvg71rEpF06N+ygbt3Vn4nr3r/A/VSag06oZ2SgbO8U6usyRzNa66mGgZU4Qy177sX/ARzWshIOpG/9SOdzkYL1saeFrRyx7KrMZ2tfzk0GwlE3RWm9ibuc8YXk3gjR6wSngeE34K3BEYdbosNtGiW1KNqmYllfyyuXHgIHws0ku3vq+9xBH3rxAr3dhV/UNYskVJQoczTcFSknyKG0WSAy/4MoAmQZeCSsJSsptjf650g0TvsuJ669QTNdjOpskYhGbomEUwyFNb1vugJH0CJMtBjzYbsFQ==","","0","2023-08-11","13:24:21",""
"2023-08-11","10:24:26","Horário Padrão de Brasília","QR Code","35230717115090000169590006245706731325285770|20230727181904|16.00||pG6v8tWCY6uGvX7GSVcU05RBsxAjH2J4Jep6taC+GAqGaI6Vf/zCeJaOf2kZc/kwO8JR86Xo+1LHEUD1EINihWphoyKG/hQPvKrEWOjy3yrtkt3BQCByeASao61ZN8UwiIC9IfLsh5Bat23/l4OQvDBd1WCZUDiokAXFAiUTKf3mb8xeQuqcBVNlIA/KVHBYrxnPrvgvg47hDDQdFlw5ya8fb2v5bL3LZFQrDHrNbzlo7V0F/PKv5DxPftcPux4SzFzaXwpUN5wooJqEJ8qterqSo2b3bgBX157sobV8v4L4X59gs9j2RKdgcuhu++e5Db1rya0Wy9yzfUhvg6iGJw==","","0","2023-08-11","13:24:26",""
"2023-08-11","10:24:34","Horário Padrão de Brasília","QR Code","35230717115090000169590006245706731319810655|20230727181835|111.76||HJnPysW9LLn54pSpqZfwWUcP1TT7VJvjdgWwoXdye1jjupqzdz+X0eBxrsRXkQnfFVCfbWKS+bNCWvGc/TwKzE1hd/ZKHMAYk5diFEk0zMLYrvsEhPEOgvMpUb/JH8alpbPVGAZ2rOaMEbSifAWKbfKcNYKWT+SA5qlQAeLB1z7oX0cBHon9VnpBzT2F3x7iiyE8clX6zE5bQ9oU59ZVXoJJa7XFARkkxz7y/YiODBNgig9D/LxfQrl8elt8g+5uSsJlH1wSP3orCjdKUjLqrNpRPYofNzwc1vEO+G9IfVJj9nyP8JO9QBbeTyeudMP2ZO9PTnP8On5B0hGKWvTvqQ==","","0","2023-08-11","13:24:34",""
"2023-08-11","10:25:02","Horário Padrão de Brasília","QR Code","35230717115090000169590006245706731304379244|20230727181747|60.00||nDV+sE7aVhy+0KcTNyEjrEpU6L2MwO+1GEUTt5s3xtTHt7VGwNfZ34FegtI7CsY6QVFC9qaT5ZxmKO7tTr/Bp5kYp8+iHqBPIwPAYPTZvNuLyLyPkjed8iwoK2NMg8wpYzUaC4toIDjffTbtwm8T3a0k7zxl/NZTPC5LzMtafVQt8uiJgqhewextLC3KEc5PVo+ymxiYAy96ueaO5uWnQFta39g1TNUEWYeq5AAq8BoSCZwa0kMyFKcYnKQpqTNl6lvfA0XCClvGPdTpJBBeHVmxJCJVSHsTCE4bTj4nNrLRsKhGjAXQndLXRv6Dz1PJ1D7MAOb8MvcH3X+BNAlvjA==","","0","2023-08-11","13:25:02",""
