"date","time","time_zone","format","text","notes","favorite","date_utc","time_utc","metadata"
"2023-08-15","01:51:49","Horário Padrão de Brasília","QR Code","35230817604918000142590006584111300729122655|20230811130404|12.50||dBiD/HgbQ58qwG7XLezWROSJrGh9bQfdel8BUTH5bTYtt2xlpkf9MECV2AmHSN2JYdx8IR2SayMi2VXOt/MeSD/uLmXbBw7Sz0s89kD3HeEz1etwwXk4dqjV8NmYVKLasjnPJ0kMb4upZZnzVEkT9wWB2Qq5qze44DzdzeM52qj24O0rQNtdvaNoJpEooNwRdXGifSxXRsnXktkof5pG7C1sweJbtX7d3YetZxZlqopEX89gs7pYA5hUxIE96PJk0wJ4+vfZpGPQ8lQ+pRB6v/mVDca0uAXhy+VCc9mRbA09kEGfzmP+4hjq0XxqwFzmwOrMJFBd3bLyqscdFUCvaw==","","0","2023-08-15","04:51:49","{""ec"":""M""}"
"2023-08-15","01:52:07","Horário Padrão de Brasília","QR Code","35230817604918000142590006584111301005050781|20230811171203|4.50||Xsq1Bdj7fx9h+tuZ6ANASIZLG7oTobGrGJRzuM4V5QeEZYVT6iGvx7ST4yN5STF0kpK+aqAyU0E/+k96d5UpPyDq7ZB0AgcGH8H1LGu4c9t0rv+D5Hcg+bAcxHboqhqJ0+H/z6WlO4EdP6vx0l56bVMchhO6r8RD3FJPhqhkC0kUJoq7AEnnUfzEvMXc3g95F/DVvV4rSgViI63mM3JmB3GugHMWqxogEpvgsAZPL05xvNSc+bAtI0gPtOw0ld+s1lsQkDLxVVazYMvFqsWwLLpEaW73cxfpDuLVWIc0/I7r7zMjupnUh6OIx7vVuDFXrMT97NZs4ilDKgQ7hCIejg==","","0","2023-08-15","04:52:07",""
"2023-08-15","01:52:19","Horário Padrão de Brasília","QR Code","35230817604918000142590006584111300990172946|20230811170832|12.00||kpV0jDcDi8Ch5i3D+G5ND74X3x8nDLsh01CQM396BaLv408uojH/PX3oT7GAsWOwST1tW26Lug76LZzDuoxHdXd9rR5XwowOgqQ8R4hGvP6sgBCAGMpRmPrLVOXgYqngzWNnxqBrujKESLRXI3qM9ayX4gUP2VPA9eE3mmJzIOvZ7gSZDmFbfHHlMaieBnHxYNhsia3fVEnXPFLV9h3lYvH+xc+37Pz4wcj7SSMNAULIQYNE0vg90/fyevGgVq7XMtisQY6yjnDWVjsctQCstu6Bxwcdoj7p8XsKyMzg2GGCreuSk+614j2l/qrXn9gZCzvUywVKhvkZ2D5Vh7O/bw==","","0","2023-08-15","04:52:19","{""ec"":""M""}"
"2023-08-15","01:52:26","Horário Padrão de Brasília","QR Code","35230817604918000142590006584111301050890890|20230811172340|3.90||f9qnUwmrx7gTrGQWZSP+FnaPzwx6aCkZLEhouVhSnV/dlvuyFjJIE8Zn9v3y79VbY8gF3B0f1hqvaoUPSkyXvsl2A2XqgJhkmrBrncFQRfzSJX/N93dxTC4bu+WjyPvZ4pLUzxsdHLXj6sWGVJQ/q7c1gEXn8d4DkfhnGW8yozXPGjyEjvP6YFOXM62sTY/HBAAAzJHB30N0xwOHcjfhvfWxd3hLNMVqp4CXR+XwH6nhTkhBow2PaivE/NqykJ+WbMDDXvu+rS3aE88/4ZebjK7dk8dspPeF913VHB0G8osqApDYKDrruIScndYTv1wQJZQGBrLWhvzcVc4OYfbsmQ==","","0","2023-08-15","04:52:26","{""ec"":""M""}"
"2023-08-15","01:52:36","Horário Padrão de Brasília","Code 128","0006584111301024361568","","0","2023-08-15","04:52:36",""
"2023-08-15","01:52:40","Horário Padrão de Brasília","QR Code","35230817604918000142590006584111301024361568|20230811172258|49.90||HUHLAHepogUbhFXbTvLkizn6mEzLDDmBNrprsNMf6PjNLplty0CNjgDxkTn/Yz+HfedHr+D3N9zE8FxNkD18ij+2a2pXGUAuGYZ+mR+h5nwqqE9TGnzJ/DVaxFAr5SO03Zrp5+FNYQyjd2Frgp/vdP7pdb3kkERvuqHWnyhIU+CBnX3BHxW8OH042UmsIuvnioUhvGnB1xP9ZZyeOcuyTEj7ikXCgbLodTjZ586fpEpASY/z7xeKOYL4nsPXC3Tm0hd+wcjSId5UF+sesOSIfdfGgOpezk4XuuMohIY3IiUDT4Vj+Qfv19gomxU5sLT2WE8uLBAL1DKQIIEL0VjmMA==","","0","2023-08-15","04:52:40","{""ec"":""M""}"
"2023-08-15","01:52:46","Horário Padrão de Brasília","QR Code","35230817604918000142590006584111300957832711|20230811164121|0.70||eKR5c5fuzxGNgkwhyafjFAAngfH0fD+OvdqV9xwGSeoAnIy5NmnGXQ2TyOc8c7LHj0dPXwbZYFYhvnzvj4rCMTgtatGVOoWHMg1ANjhXmXYlAVa2FjhCEA/xxE/Zqlx9z0xDzwyFv+nWWnSSTy2CeYVzFEzR3VS205qAN1BmsoMLXOdXAzg0A+tp2iXW/ICUs5effyZZrcEeagEJciCZ85v3MhuuHpdEj34r89xpBvjED76ziahe7LNrUU6tyF/tXHr6vtbYHr1dSoP21AiJh4k4VEA0N6dkrJNV+OnT6oDzyjxFZz97440AgM4sLWv+0HN8fNc/KuBmgyFXnZjlUA==","","0","2023-08-15","04:52:46","{""ec"":""M""}"
"2023-08-15","01:52:55","Horário Padrão de Brasília","QR Code","35230817604918000142590006584111300875468064|20230811151759|18.90||Sg39jTnu1Ob7Ys3qY1r9bOq4xGYhRZfdE+K6IQET80OMdEN5muUT1XnMDcp2XVDoKm9i03beaflyG0+latbJB8W48NLhbo06jXOQ68/2Cl6zObhExMi9l5xzezJU3dP2P/BaRY5cZsi7VRKDZ5PXxDDiVC/ypTHwVOWMzP6yCbenIpT00MPlqniuGh0V0Vfx1GssNbGN3fDaFxuo8nXCj2bnkgXNnnZ1rxVwK3JweGg4m09GVjvq/j8TRIpFJ7h4ZTCFvZ2EEtvTRPtTwNd50cGKc6bN9mWfqg7fFtM4QEOAaiZYrVqUqDz+nt6hqvl/73f07uNGlPBrgYasKs8sig==","","0","2023-08-15","04:52:55","{""ec"":""M""}"
"2023-08-15","01:53:05","Horário Padrão de Brasília","QR Code","35230817604918000142590006584111300934423726|20230811163505|8.50||bjNd2O2NNZxmgMJH4usFOjQrnRcBumU7LoWQV5nZEGc8QB7Jq+9l2/kuHKSc/9MZXa2OUOr6Qq4LgGh2IgXrYA5B9MOUev8YcMxrz/XxXT/zsnRyTzvKe27UlQu7woaBvQ/HaTD30ecnpjmJdRc5rcGexTsufiaZyiaCArh468GUe8/gmJot6cojzFavdFrouRtpPKQFy05Shh/LRpQ1sRkWizQazz53IWUPc5duMj7DuPbhecgZEwOhU7gGM72PLTIQ59MT5DC2qi/7S4Cztzoq9hua3vVpXkFPDAcQfGoRq/dlVRifmvPU/1/+hYOyrwh1KUC+WRknwyyswNtaeg==","","0","2023-08-15","04:53:05","{""ec"":""M""}"
"2023-08-15","01:53:13","Horário Padrão de Brasília","QR Code","35230817604918000142590006584111300969216298|20230811165131|8.00||sMrxU1GAVLwuHUnJj1gunCQs88uHxBBBEC2KfI3byc6wazgxQ1xIK0Y+efhULrFUh6r6hCRTnvWAz1+A9T6FJP01+bxhQPKS8xWk5T4W1vugnGnkVaIqoDxJe71GSo/x758XPIQIoDCQ0cCCFEf5M5DsQgOROiQKzxkS3VEsH4JZgYWvuAGtMtJaC9umN86yG19TIfYn8eYsHakRgrdaGcS6HfTo3i6XIooeTFFy+0WptObAP2uHIPxRvOPpQ6M13lHk/vt22hVz6y7HcdLInRlakfTP3OhLtHyrlDSeJM8fS7hwFVBeNFqcQZ41jaYG1kQWc+nwrTQP69tOxQj+OA==","","0","2023-08-15","04:53:13","{""ec"":""M""}"
