"date","time","time_zone","format","text","notes","favorite","date_utc","time_utc","metadata"
"2023-05-14","20:08:24","Horário Padrão de Brasília","QR Code","35230351832046000612590009623420981335512503|20230330192356|48.40||xKD4S8WHUTts12YvGL00DqOpO5aOacP/OQz3wcWPcppDXrkviu52b8oDwoQ6SazvpLeDMAxoHykZ97s3jhz9OCX+V772LHLdknZeZq4T0y3qXJNV9T25KpdBmGddvfnpMpaEkpzkbfgKZpUJWI+qdqRqF2FJfgRTnDolprnGwMlvbMQBeaUOnCZ+WoqEtvg5djiSAke80A9LkQMfqvNNKriIzUb8ykWWymp1g+Pgc5CPnGfvjrGO7pcXd87Lkg1sM70xSMF970Hau5Qz4M1x/g3VNyk1ppQUJ3LRb+b3J/wkue+BGIt/2xRV4HN3TzZpMrHCSUEwLERmpwuMrbDO1w==","","0","2023-05-14","23:08:24",""
"2023-05-14","20:10:20","Horário Padrão de Brasília","Code 128","0009623420984320505407","","0","2023-05-14","23:10:20",""
"2023-05-14","20:10:45","Horário Padrão de Brasília","Code 128","0009623420984320505407","","0","2023-05-14","23:10:45",""
"2023-05-14","20:11:40","Horário Padrão de Brasília","QR Code","35230451832046000612590009623420984320505407|20230401180701|11.90||g99cIARFkyp1A+8DW+tqfoa3qQ8QaI3lIYWFVpdmXE7hZAQr3oHpQw0Mfx+Zyipr1Hqg+Ll6o+SNulp/9Stjwqt66xuRGSe7o0fbL6LWsISdVjmTKLkSNMCOZaajarPkWhdB3MAjdXZRc0g6O7Qq48Ucdv1+z7XJvQGJTBtNzlvvkG9H7FG7qHmsaw87Uo8ea+Iqe9xyi/SxpgsRFNBvyUugFIyPfbBWCJSp5sOq3nUCKNsTuPLA38CxtYCbnRlENjIIunaMVOhH4bM78GtSh2ONGrFXokeV5sji5cQqk3pvESpJlVxbCHcGgSBMurVCilROVjEoffXIge0Uf7TnYw==","","0","2023-05-14","23:11:40",""
"2023-05-14","20:12:36","Horário Padrão de Brasília","QR Code","35230451832046000612590009623420999243150105|20230411154400|31.05||sY2jp1RCNy839jIudSM96GEquVPXn/UVdXz/RWaDe0MvlXsBezq0kobZNeM2AXgeuIEBEPuNUrgt2fheofh12MydAxgopuWMBgCNtzJ3Bi4ZLLYAAtNtudyzANBNtfpxPAp6MvNLa3jNEkL0ya/6q3MN1Z0rKTvBl86G7q4mgRrq4RL/Pf3SCQtjjAt2wnrrn3VSE6+zfDPWU3gnFUycCL1CAdaBAywDINjES5hQ6tVAoK3xQm6IZZ/bTgC4thZgd3VAfL+LIl7kRe0cg/29G9Xxkj9zyDlkNVyWQ8yGy9DQbZ8mi945q5UQHngu+PDG0qqWTWR3gucytNehWRYmCQ==","","0","2023-05-14","23:12:36",""
"2023-05-14","20:13:01","Horário Padrão de Brasília","QR Code","35230451832046000612590009623420999243150105|20230411154400|31.05||sY2jp1RCNy839jIudSM96GEquVPXn/UVdXz/RWaDe0MvlXsBezq0kobZNeM2AXgeuIEBEPuNUrgt2fheofh12MydAxgopuWMBgCNtzJ3Bi4ZLLYAAtNtudyzANBNtfpxPAp6MvNLa3jNEkL0ya/6q3MN1Z0rKTvBl86G7q4mgRrq4RL/Pf3SCQtjjAt2wnrrn3VSE6+zfDPWU3gnFUycCL1CAdaBAywDINjES5hQ6tVAoK3xQm6IZZ/bTgC4thZgd3VAfL+LIl7kRe0cg/29G9Xxkj9zyDlkNVyWQ8yGy9DQbZ8mi945q5UQHngu+PDG0qqWTWR3gucytNehWRYmCQ==","","0","2023-05-14","23:13:01",""
"2023-05-14","20:13:12","Horário Padrão de Brasília","Code 128","0009623420984239152460","","0","2023-05-14","23:13:12",""
"2023-05-14","20:13:52","Horário Padrão de Brasília","QR Code","35230451832046000612590009623420996141347711|20230409130624|27.25||hF1zi7OJA1th76JrEARhBzmo7A52gW+o4yVzoqATB5ihvf14mFwtWIF+KRfLuPfNpOW8ML9obaYX6pxdpXWKNDDjAEfll7UryM/zGamsI+o/eotB7GSL5NP1Wh+K0rf4j/vCgn2cyjLixkota4Y2JulKitQmjPgKJekpQrqOuGScXjpqxu0RiDKiPN+uOe4iZglhuZ4o2sStf4Rg4Zf3l28CFbBPSFe8Im1GsjyAYyMoIcRJNCl/yE/hVA/TG4tM2t3QmzX9BNBLYXj6LhZd3td/C/xh+eZwacGBceOPu5dme2UPVsD0oNDP+b/kCKQ5zvl+moUZLzMU1aOPpgBPBA==","","0","2023-05-14","23:13:52",""
"2023-05-14","20:14:08","Horário Padrão de Brasília","QR Code","35230451832046000612590001510911288267954070|20230401145855|11.03||ICNc8SzRdwKI7Uwtoma++gDOfCIRPUhVEshM66vj4k0LMjmJfL9w/hqFkbYZK0iaIDJ1j4iX4IinNRGpNUGcx0EF1PM9wUpngXTKjV+Q7mTVqSfMaHoVV2wArCN+2KhWMosc7CVYw6RTXAbjFYRH14uUqGHzcxSqjJtKp1dAZvLtTMuBbyJZhca2IOImxL7NcF/zY6eLAbpbvwnHKJF6YbKXB7AMLxXqMu/I45CeS9LXru5zcUG6zbxgxg/pGgWuFjP99JkYiCX5+2vB+ZRgi2uml/CBI9bOWUCdQKzwblNqsB4UZQTVipqw/6glpLIXc0b2bCfcIw+x6QvSOhRvbA==","","0","2023-05-14","23:14:08","{""ec"":""L""}"
"2023-05-14","20:14:53","Horário Padrão de Brasília","QR Code","35230351832046000612590009623420980153012159|20230329195207|31.45||ls4IaB8epqXEbbdLLwEBSILCDeaBZWy7XrIfMlprYjadAWBVmUmhkwP+ckL3MebQUmdXRFPlOLdrc3oiQ/9NX2SnW7dlK31Yjp26NGtJ/Wvc+ATJ4/JW2UQS8APDWKsQINyQLumf2udB/0uCG8pJ+kbsD1HbH3rixHJhEK7S+Vk3IkI9kztSa9UFe1S5JRwdW5E9VldC7zSIWofA6K+5A3uA5GujR3XYc+Q5wnHT428UMEtLqncpyAlr7/0EZHlwroqVnogfRm/qJ3zTQ9CnstGQSed4MWGQUyYQ0lOwX5XDzndAaZk6TuEXZcwg850fVltByV1UOJvHSbd5kenwjA==","","0","2023-05-14","23:14:53",""
