"date","time","time_zone","format","text","notes","favorite","date_utc","time_utc","metadata"
"2024-02-09","21:13:24","Horário Padrão de Brasília","QR Code","35240201432853000165590006508900522864252321|20240201163836|102.80||4PiWbvQPp+GEwOe8DR7M4UlyNhXxhcbJEf4hz2BEkhxEkWdgfF5nS1NvfDk7GLr6WfcfjKT8bmasnVkDhqt9Xafzl0GWJFfg49BhAlMp1EuxtmrbggYy7gWOJIP5a7C+KgcgChSAINvvwmoR7TJSx2r6lhUqaMyrQpFtljNdIcHiZhgfX+bUR1GQPSU1GbpJM+4GspdoDoCIpmUlqLwSZQDn9yTwJ7paPrGqdKyTq+YZy2mrkytL+/W7fNhUZR+M4568hZJlpTDg/RhyqfIB3SFEI16KKzwbehgvPVDGoc1HfALtT+gRzrkPPhAGaYu/coyNZRp11Tpwzxy+WCIBAg==","","0","2024-02-10","00:13:24",""
"2024-02-09","21:13:33","Horário Padrão de Brasília","QR Code","35240201432853000165590006508900523210636102|20240202121945|17.28||TU9imBE+zmYqAk28Cg7B1/+gnhRNqGBdQgU4FlW+jzu583RNmYGWYmrnfu5sOB9ljZdjX3VGOMLgZ4g5sAo2xBbHpWPBJqejUtr8f4SXSQD8r36hsbEIwJWV1oLBugkm/xI4msUkh7AJcmkR2rJb+Uosn7wDUVrm/wYgu42qRBlf+IqSY7sgALp5244g6FAYbTESn5YcoYafx6zbXCtxSmZjGhydivhxBhy1mWJeVHvkwArUxEnCKlQOKP6Uy6NjLX3UGuufVUbyELnmgNvMGQRR6f4bngNNs3vE80rxl5jum+cs0g7cjAatoXjwthkkp//6jB8/h2PeZvWTHCzafQ==","","0","2024-02-10","00:13:33",""
"2024-02-09","21:13:43","Horário Padrão de Brasília","QR Code","35240201432853000165590006508900523333201740|20240202153354|54.45||zXcOhZ7cdg3qUuPDHkhx4HcNgCeVDt+a3poTPNEvEacrZY3+YFmfl6Nb/XeTwe4G6KEvTG6t6e4ajkp8watzkfoUmfdOSwv+fxHjuwA0ZfhFpP6JvdOFHHvxKCzDQ9/jJTpVQVfJjIlgHgnFkomDmgIy9fWuQv+npHcnQfG67g3v5o6015ZNMXhx07JA9C8WgNa9O1tjGwIeVkZv23xtxGnRN/j+ackCqeZFzgUroPggIiYPJMekargPr6BT7VecfIrnDky6F3IpdmmBSF1DYb68Q8byQvHzqOPOEvzwfVKa0GjQBo4oHZ0iFZfqj4cm7pf4w00Lx/sbQJNg2yHbdA==","","0","2024-02-10","00:13:43",""
"2024-02-09","21:14:18","Horário Padrão de Brasília","QR Code","35240201432853000165590006508900523427601211|20240202175433|63.44||xmLJzQLLVz6wVM3U3urAzBeOS5hW4PIt9snCUTAgvyyRu+8pj5/oUTTmSaVYXq3ni4w4LKTOrra6GP4/REatcG998uBMvfV+JB4Yf/YKIPWQ4t095M3vCd7xt1+exknQeQ4iB//ytgBdR4GP6jGcWhYR+4UC8RNjHE1md8WCIal4MaGFf94A31dA+txUxuGXauu7BjF51wyWQstynR/n6cFIoFn9Pg6FABscv09snsU5sQWWm08/YevzaU0+biCj6fC8K5wt3geBckdPP3CE8NxjR/9+ZnHl5hY/Mdr94VWATFTrKZzpAm8mbSxL2w76Uv6Rcg5H1d1RPNmLLgYyew==","","0","2024-02-10","00:14:18",""
"2024-02-09","21:14:42","Horário Padrão de Brasília","QR Code","35240201432853000165590006508900523347756170|20240202160331|31.75||NOkqiMXEBGNu8foSs86k0WfIFJmw5rBcn2N0sXtMf8sVgMND94yISNvSBqIFQ6Dm/y48wAxKoUui9inm6zxeAyrczNuIzaV2Y4ELOxALwoCmeTt7W8LtCWxPHvI5ZDuZSnFsd88K+7zB/XYDW5X4UT05Wh0T59ASI1VTef/oVwwRz1RxKFMMrp7pQdsme2Z8HEQCdQw8TPpXphGsg0w98DFM0iuOsy6TN5wxhSlx2kAH13Uw/tZ7Tgj83+Ilia+o/qfiD+JrlESPQH1NbSq6Ytsg/GhF7A4ij3gmZaMNyKKm1R6v89Ou5ycecQPCqwDSrVvOAe8TkawOjAXxAlf7Qw==","","0","2024-02-10","00:14:42",""
"2024-02-09","21:15:00","Horário Padrão de Brasília","QR Code","35240203618178000199590011450080554948581964|20240201095401|32.00||ufIxdcGlEzYDyR9iPDH7tm7DHIFsPC6pBi7fKU626jdTzUGMSR3rJloVHp6kiOlo0YegfoKXBxAmtaOpICUJQLRlCQl8b621Oof02pWWazWekiI+vzhxDif/NuXja9ZyGxrxgAtR3b3Coo65afE62osnsBpH1N00EDTCDh/6gpN8Fi7w6Zx3/UlGZ/diCoBKJ+U8rxjes+16j/Kr1qjfrZB2WmKgyBmJOTBLC9bsHzt8o4d+V1Dw7tneteDwByamEg8jNgAisr/C2KoRy857FJ/oumvbcyZYWEeeJZInGI7igrmRRIZqz+uSB/t3lK8DEc6xQef6zyf7Rx6Q0UsGPQ==","","0","2024-02-10","00:15:00",""
"2024-02-09","21:15:08","Horário Padrão de Brasília","QR Code","35240203618178000199590012537710138386965029|20240201094721|14.41||MVbHgSuIQB5oAEt9PvW3Ff/6XNuJbf+B0B/0GKC5o5+13bKvg2QNZr8PbpqtR1NVf/KdlRBLFXrZTH2OvEYqDj4J6m9vWh0yLGIKghJ4cJz+SH1x10Lg6R1ojebCIdab1Bq++5Kp2LA1cNGMbCTfnaOpgTMXxV00Z1WP1Cp6too84sw3IfI7c/rAO6pSYsCRU4d+zZnhJqcwBkasYXo1zpYHo5ss/DhkI8M0f12eGSDye14bgxRDHmd9p+5Um5JndrMkdnRkPINKBEhjlSXTarZ+kwo6PQrFMjeF9SVkHwwvr0MsLwD2vmrvYG+ILe6SeYUkb64WHqJnsByJXoVqMA==","","0","2024-02-10","00:15:08",""
"2024-02-09","21:15:14","Horário Padrão de Brasília","QR Code","35240203618178000199590013400910518940201070|20240201192805|78.65||uOENdRG7F7wCbvsgI2wDNZlW1Xw7eIcvSc4czaBABhii8nrZoRBmLKkvpTofKLcT7A8jQ+ty60mQx6p15aMhvC5PIu057IKn821yJtANBVOkMiKUijSbzxd4Z+SXuB6voL1D2+S+cZvzS/nFb+7mH2eL3+ZJ2VSooEI80Z5fRg7XDGn5hAn5p42JGJMBZrkQfTMcyoltnELlxaaHftw5W431MYM1cxfDauL6Kv0/QqIlVhHp4kF7ISBxnC4k5NtzcL4QvfGmI1rzz/aTlf51SXuzlfBdj0xqxSwYBUI3pOp/B8AWh1qA/rvCH8zBPQ+N8yLJkPuwQPJP08j1pybJ9g==","","0","2024-02-10","00:15:14",""
"2024-02-09","21:15:25","Horário Padrão de Brasília","QR Code","35240203618178000199590011450080556439803477|20240202143135|25.29||tnTywfn29YKKTksNDjTgsWesy+AvkZxRkk5S3FzQNhM/Xo5p4BERHVZXfscmzQO7pqM4QJL4/3HAp26UuMtx+ax/ZEbJiAGQuIqVCkNwipFO587Bn3DOomh4R5pOEqKpf/B4bv/XI9Pcio/T2ZBRcC+ZAO9/+F25YJGBZor26OA1gCjTNXgwQhE43NYiP32fctkKbWvyf1aJ3rmCnV7Tr6GtBH4rrcFpUtR43SIZhrLDJyMHIStuyDOdpZZ2y5PYd5oL00moAi3G4vHA0oFUorp0C1EyR4aiOcUTjtG1F2IhOPzJnuoj2M2JUwFzaA9RtzRD8T73+HuDPXRWeQXrQQ==","","0","2024-02-10","00:15:25",""
"2024-02-09","21:15:36","Horário Padrão de Brasília","QR Code","35240203618178000199590013400910519476530383|20240202120805|21.54||vHi7LF+4PJ9NPz6ymzEBmDPEV+B2EMtA2Xl0s5OZwp9eS+o+IKTh1R59LFVkSfJ/yJDPxhhB/Mx81xlLukj+jfuf6fzJQvINkRkwclfDwOrqCjvsEsgHF02HG9BYkCTVmU6Nxz07lUi2ubXotqWR1myhVy6j2QKwHdgnaZNG60RbUSCg3CcEmMaNXZ5E7D7eAmOdHv/1ohQ9umCVRQ/7m1C2YAcpHOOPbIFxVRUaUyaXr+DMssqa2RteYyMW/nCgmH79E9OxWDZv0PFM4F56oBOP80+PTpidcLGBdCRIzrS9ItnghurpogYbCSc/tcqh2wQq/RwWuC+7S0X3YS99fQ==","","0","2024-02-10","00:15:36",""
